# SHA-256 manifest of the FROZEN AMRFinderPlus dated database 2026-05-15.1.
#
# WHY THIS FILE EXISTS
# A conda lockfile pins software packages.  This database is not in the package:
# AMRFinderPlus downloads it separately, and `amrfinder -u` only ever fetches the
# LATEST database.  There is no command anywhere that asks NCBI for a specific
# dated version.  So the version string `amrfinder --database_version` prints is a
# LABEL -- anyone can create a directory and call it 2026-05-15.1 -- while the
# digests below are the EVIDENCE.  This file is what lets any machine, offline,
# answer "is this the same database that produced the recorded calls?".
#
# WHAT THIS FILE DOES NOT DO
# It proves SAMENESS, not availability.  It cannot make NCBI serve 2026-05-15.1
# again.  If the local archive is lost and NCBI has moved on, the pinned database
# is UNRECOVERABLE: this manifest will then only be able to tell a future
# maintainer that whatever they have is not it.  Keeping a copy of the 239.4 MB
# directory somewhere durable is therefore part of the pin, not an optional extra.
#
# HOW THE ROLL-UP DIGEST IS COMPUTED (deterministic, and reproducible with
# coreutils alone)
#   1. list every REGULAR file in the dated directory, as a path relative to that
#      directory (the directory is flat: 162 files, no sub-directories, no
#      symlinks, so every path is a bare file name);
#   2. sort those paths ascending by raw bytes (LC_ALL=C, not a locale collation);
#   3. for each one, emit the line `<sha256><two spaces><path>` followed by \n --
#      byte for byte what `sha256sum <path>` prints;
#   4. sha256 the concatenation of those lines.
# Sizes are recorded for people reading this file, not for the check: they are NOT
# part of the roll-up, which is over the sorted (name, hash) pairs only.  Folding
# them in later would move the roll-up without any file having changed.
#
# REPRODUCE IT
#   cd <env-dir>/amrfinderplus/share/amrfinderplus/data/2026-05-15.1
#   find . -type f -printf '%P\n' | LC_ALL=C sort | xargs -d '\n' sha256sum
#   find . -type f -printf '%P\n' | LC_ALL=C sort | xargs -d '\n' sha256sum | sha256sum
# The first command prints the per-file lines (same digests as column 3 below);
# the second prints rollup_sha256.  Both need GNU find/xargs, which is what the
# pinned linux-64 environments carry.
#
# WHERE THE DATABASE LIVES
# Inside the pinned prefix, at share/amrfinderplus/data/2026-05-15.1, with a RELATIVE
# `latest` symlink beside it.  Inside, because a database found through an ambient
# CONDA_PREFIX belongs to some other install and would stamp the wrong version into
# the ledger.  The prefix itself is machine-local working state and is never
# committed -- 239.4 MB does not belong in a repository, but 162 lines do.
#
# HEADER FIELDS (read by bin/curation-triage/setup_envs.sh and by
# bin/curation-triage/tests/test_tool_pins.py; `# name: value`, one per line)
#   database_version  what `amrfinder --database_version` prints for this database
#   files             number of regular files digested below
#   total_bytes       their total size
#   rollup_sha256     the digest defined above; also recorded in
#                     src/curation-triage/tool_pins.tsv as database_digest
#   frozen_on         the day this manifest was taken from the installed database
#
# database_version: 2026-05-15.1
# files: 162
# total_bytes: 251050664
# rollup_sha256: 2fb16b7f3c574c9fc3bc531de922925ebeff5c7722b6d4267d4f523369fd5398
# frozen_on: 2026-08-04
#
# Columns
#   path         file name, relative to the dated database directory
#   size_bytes   its size
#   sha256       its SHA-256
path	size_bytes	sha256
AMR.LIB	107344708	280ac0c591d8985d094438412cef0f2f40047519f5ede71db56d2459c206877f
AMR.LIB.h3f	19915700	6dabd2830467e42595af3cd35787bff1352e23f582b67179e44edb6daef77db4
AMR.LIB.h3i	76713	d754acc4df473f70b5a1e6f916b4eb7336466e5cdcf75039b6ef6f3e70dbd552
AMR.LIB.h3m	44498566	775a5e72018239816890b2424df4b7d399cce0c8802316f6169de7c91895c09b
AMR.LIB.h3p	52295470	d595cfae5ec9f781e5d9e90646ef5719aa95d1d710658d6c7de3974cfc315f58
AMRProt-mutation.tsv	201327	35d60284de66da9087116179b9b33156f9591bc7243f642ae88bef466cbb4393
AMRProt-suppress.tsv	494	2b713905b359b464260526bde24ab53218a1f7c59f1c020d49fc3338d7293697
AMRProt-susceptible.fa	31111	14a9900f90f870dbfa6e72e08464be4a2db1dec2b7439bc3c1cdc7a34c2157a1
AMRProt-susceptible.tsv	8080	5e98b47833a4770e2262a91ef23474c40b53b8acd0aea196f26f287a98978bb0
AMRProt.fa	4658980	dc21f47094024efb9bd46a7e239933323fe0eb24190185847e1f426f1696fe56
AMRProt.fa.pdb	20480	4d31aff8a951fa6df5b5b123f5cdb06ff4f82c1bbca8848f3c3a88a0754a13a7
AMRProt.fa.phr	1822163	a7bd47c3f356c67a5c9ccef14112e1315689e987bbe37abacd6176162859113d
AMRProt.fa.pin	80112	70595f0827efea07346ea8b2657c52480660f4814aab578451ae2e29b126add6
AMRProt.fa.pjs	509	843f9a58b47f0013f1f88f51e862ad49cd348872da23412e21d218f491626be5
AMRProt.fa.pot	119984	82d2eff0f30989361d3a3565b1eb517488070251d68b1ba35731cd7e6f03ed23
AMRProt.fa.psq	3422876	9510d46e25c3adc4d3edd8e7cb50c8b6ee702ac30472a20b65db525ef8af4ff0
AMRProt.fa.ptf	16384	67982e4d7b1490b09cce06e7c29175c6bd011cd542cfacb1a1c310084a50821a
AMRProt.fa.pto	39996	3930d2d9aee7291b10dcc6bebb04d701c95d73315f622014adace37b33e895cb
AMR_CDS.fa	11066214	ddf349431ba155c268fbd70f0acf78390734f4b026a70ed7c3a340c841b4bb8b
AMR_CDS.fa.ndb	20480	cfdc8992b10d1472cd800ae3d3f1dca3f61f431e98a0e9de8ee96c506b9250da
AMR_CDS.fa.nhr	1733173	0d10325e930708b3b6f554e0c447e34c76167a51ccbeeda687ac5696b839ec58
AMR_CDS.fa.nin	116676	b8fe311cb5492adf0b13d6663f99d4275beeb4f744557d0e8dbbb14d0ee43027
AMR_CDS.fa.njs	512	452b7864ba4e3b53f1cc287bcdd2b05e44f1ecc8c5c7a44671df25696da3d289
AMR_CDS.fa.not	116552	9502d8fd88d3d318958d5f9dec4f59b8bdbcc41008a00489a0171468e4af5708
AMR_CDS.fa.nsq	2459334	e83721a1f647481eff0d3ebbd02071680a05293d97ea0dbd988eb94b13bf3595
AMR_CDS.fa.ntf	16384	67982e4d7b1490b09cce06e7c29175c6bd011cd542cfacb1a1c310084a50821a
